ID Sondagem;Cota de boca;Profundidade máxima;Projeção;NA;Profundidade inicial;Profundidade final;SPT
SP-9012;733,33;25,25;1,25;54;0;1;-
;;;;;1;2;-
;;;;;2;3;-
;;;;;3;4;-
;;;;;4;5;-
;;;;;5;6;7
;;;;;6;7;9
;;;;;7;8;6
;;;;;8;9;6
;;;;;9;10;6
;;;;;10;11;6
;;;;;11;12;7
;;;;;12;13;8
;;;;;13;14;12
;;;;;14;15;10
;;;;;15;16;12
;;;;;16;17;13
;;;;;17;18;7
;;;;;18;19;8
;;;;;19;20;7
;;;;;20;21;7
;;;;;21;22;12
;;;;;22;23;16
;;;;;23;24;20
;;;;;24;25;24
;;;;;25;26;3
;;;;;26;27;22
;;;;;27;28;26
;;;;;28;29;28
;;;;;29;30;26
;;;;;30;31;28
;;;;;31;32;24
;;;;;32;33;18
;;;;;33;34;17
;;;;;34;35;20
;;;;;35;36;27
;;;;;36;37;22
;;;;;37;38;25
;;;;;38;39;28
;;;;;39;40;26
;;;;;40;41;25
;;;;;41;42;8
;;;;;42;43;10
;;;;;43;44;12
;;;;;44;45;12
;;;;;45;46;16
;;;;;46;47;16
;;;;;47;48;15
;;;;;48;49;16
;;;;;49;50;19
;;;;;50;51;18
;;;;;51;52;22
;;;;;52;53;24
;;;;;53;54;26
;;;;;54;55;28
